SOUP Plant,Diameter,Height (Top of caliper on the container ,Close bud,Branch,Open bud,Date collected
4,0.71,5.41,1,0,0,250322-250324
103,1.5,35.44,1,0,0,250322-250324
14,2.42,27.99,3,2,0,250322-250324
50,2.4,31.09,1,0,0,250322-250324
6,2.67,30.95,5,1,0,250322-250324
51,2.24,38.5,2,1,1,250322-250324
48,0.95,11.8,1,0,0,250322-250324
3,1.18,36.81,1,0,0,250322-250324
13,1.48,16.86,1,0,0,250322-250324
10,0.87,16.5,1,0,0,250322-250324
49,1.7,80.62,5,0,0,250322-250324
47,2.87,20.62,5,2,0,250322-250324
76,1.61,38.47,12,0,1,250322-250324
72,0.86,4.13,0,0,1,250322-250324
109,1.38,5.17,6,0,1,250322-250324
111,1.02,22.63,3,1,0,250322-250324
121,1.49,32.28,6,2,0,250322-250324
113,1.66,27.36,6,4,0,250322-250324
77,1.62,36.54,5,0,0,250322-250324
125,0.82,25.45,1,0,0,250322-250324
114,0.15,10.02,1,0,0,250322-250324
68,1.59,32.8,1,0,0,250322-250324
88,1.56,23.87,6,5,0,250322-250324
112,1.61,12.43,6,1,0,250322-250324
110,1.85,34.63,8,5,0,250322-250324
75,2.16,60.66,18,4,1,250322-250324
78,1.12,15.03,1,0,0,250322-250324
73,1.34,1.95,3,2,0,250322-250324
126,2.07,42.14,4,2,1,250322-250324
85,0.78,1.38,1,0,0,250322-250324
84,1.46,64.22,5,2,1,250322-250324
74,1.67,31.16,5,2,1,250322-250324
119,1.68,28.92,5,0,0,250322-250324
87,1.83,34.78,7,0,0,250322-250324
39,1.41,31,6,3,0,250322-250324
42,1.87,18.62,4,2,0,250322-250324
94,1.51,31.43,4,5,0,250322-250324
41,0.84,10.73,1,0,0,250322-250324
44,1.52,24.43,6,1,0,250322-250324
36,1.24,36.58,1,0,2,250322-250324
43,1.54,26.78,6,0,0,250322-250324
35,1.67,46.23,7,0,0,250322-250324
36,1.75,21.86,5,0,0,250322-250324
55,1.36,32.19,1,0,0,250322-250324
105,1.38,25.416,3,0,1,250322-250324
12,1.5,45.05,0,2,3,250322-250324
16,0.86,5.95,3,0,0,250322-250324
25,2.08,39.82,4,0,1,250322-250324
97,1.46,43.29,6,0,1,250322-250324
26,1.83,35.08,7,0,0,250322-250324
20,2.57,38.08,8,0,0,250322-250324
15,1.18,29.97,4,2,0,250322-250324
5,1.47,40.75,2,2,5,250322-250324
106,1.42,20.24,3,2,0,250322-250324
9,1.64,28.18,6,4,0,250322-250324
1,0.97,14.03,1,0,0,250322-250324
2,1.26,39.62,3,2,5,250322-250324
54,0.83,3.11,1,0,0,250322-250324
69,1.54,43.16,6,3,0,250322-250324
82,1.46,23.38,2,0,0,250322-250324
86,1.83,51.84,8,0,0,250322-250324
81,1.17,9.08,4,0,2,250322-250324
122,1.53,51.38,4,0,1,250322-250324
123,1.57,44.26,3,0,2,250322-250324
108,1.25,16.49,1,0,1,250322-250324
120,2.03,51.16,11,0,0,250322-250324
124,1.1,2.12,1,0,0,250322-250324
89,0.8,12.2,3,0,0,250322-250324
116,1.36,20.46,3,0,0,250322-250324
80,1.67,24.68,3,0,0,250322-250324
118,2,40.11,6,1,0,250322-250324
90,1.31,18.3,1,0,1,250322-250324
115,1.02,17.41,2,1,1,250322-250324
107,0.88,15.78,1,0,0,250322-250324
18,1.18,14.15,2,0,0,250322-250324
52,1.62,25.94,8,0,3,250322-250324
104,3,30.93,4,3,0,250322-250324
109,1.39,26.34,4,0,1,250322-250324
107,1.76,40.02,4,3,0,250322-250324
24,1.57,35.44,4,0,1,250322-250324
11,1.67,36.5,7,0,,250322-250324
34,1.8,42.65,8,0,5,250322-250324
17,0.85,14.86,2,0,0,250322-250324
8,0.87,10.92,2,0,1,250322-250324
33,1.76,36.53,6,3,2,250322-250324
