Date (DDMMYY),Collector,SOUP_Seedling_ID,Uncolonized Root Tips,Colonized Root Tips
280725,SM,108,200,0
280725,SM,118,32,168
280725,SM,109,200,0
280725,SM,043,200,0
280725,SM,113,200,0
280725,SM,010,200,0
280725,SM,048,200,0
260725,SM,106,169,31
260725,SM,084,76,124
260725,SM,075,44,156
260725,SM,041,200,0
260725,SM,116,200,0
260725,SM,034,32,168
260725,SM,081,32,168
260725,SM,044,200,0
260725,SM,087,42,158
260725,SM,097,18,182
260725,SM,112,200,0
250725,SM,003,95,105
250725,SM,018,200,0
250725,SM,117,200,0
250725,SM,068,200,0
250725,SM,004,200,0
260726,SM,019,134,66
260726,SM,126,104,96
260726,SM,050,48,152
260726,SM,121,44,156
260726,SM,014,126,74
260726,SM,036,82,118
240725,SM,083,98,102
240726,SM,009,33,167
240727,SM,076,60,140
240728,SM,049,9,191
250725,SM,020,105,95
250725,SM,089,200,0
250725,SM,105,39,161
250725,SM,088,85,115
250725,SM,042,200,0
250725,SM,078,200,0
250725,SM,054,200,0
220725,SM,094,28,172
220725,SM,055,200,0
220725,SM,074,17,183
240725,SM,086,25,175
240725,SM,079,67,133
240725,SM,124,200,0
240725,SM,119,50,150
240725,SM,125,200,0
240725,SM,071,200,0
240725,SM,017,200,0
240725,SM,077,34,166
220725,SM,039,54,146
220725,SM,120,146,54
220725,SM,024,43,157
220725,SM,069,37,163
220725,SM,085,200,0
220725,SM,073,81,119
220725,SM,007,200,0
220725,SM,016,200,0
220725,SM,123,85,115
070725,SM,005,96,104
070725,SM,008,200,0
070725,SM,001,200,0
170725,SM,103,41,159
170725,SM,110,34,166
170725,SM,111,200,0
170725,SM,013,200,0
170725,SM,038,48,152
170725,SM,082,72,128
210725,SM,012,200,0
220725,SM,115,200,0
250625,SM,052,75,125
270625,SM,107,69,131
270625,SM,104,43,157
300625,SM,051,28,172
020725,SM,035,36,164
020725,SM,122,40,160
070725,SM,080,99,101
070725,SM,002,116,84
070725,SM,006,121,79
070725,SM,047,37,163
070725,SM,025,65,135
100625,SM,033,53,147
